"DEPCOM","COM","POP"
1001,"L' Abergement-Clémenciat",776
1002,"L' Abergement-de-Varey",248
1004,"Ambérieu-en-Bugey",14035
1005,"Ambérieux-en-Dombes",1689
1006,"Ambléon",111
1007,"Ambronay",2726
1008,"Ambutrix",752
1009,"Andert-et-Condon",330
1010,"Anglefort",1115
1011,"Apremont",376
1012,"Aranc",326
1013,"Arandas",144
1014,"Arbent",3367
1016,"Arbigny",463
1015,"Arboys en Bugey",644
1017,"Argis",442
1019,"Armix",28
1021,"Ars-sur-Formans",1408
1022,"Artemare",1237
1453,"Arvière-en-Valromey",713
1023,"Asnières-sur-Saône",66
1024,"Attignat",3211
1025,"Bâgé-Dommartin",4092
1026,"Bâgé-le-Châtel",923
1027,"Balan",2684
1028,"Baneins",602
1170,"Béard-Géovreissiat",1051
1029,"Beaupont",689
1030,"Beauregard",866
1032,"Béligneux",3333
1034,"Belley",9103
1035,"Belleydoux",314
1031,"Bellignat",3624
1037,"Bénonces",298
1038,"Bény",756
1039,"Béon",454
1040,"Béréziat",496
1041,"Bettant",748
1042,"Bey",279
1043,"Beynost",4613
1044,"Billiat",622
1045,"Birieux",283
1046,"Biziat",876
1047,"Blyes",1007
1245,"Bohas-Meyriat-Rignat",913
1049,"La Boisse",3229
1050,"Boissey",336
1051,"Bolozon",89
1052,"Bouligneux",328
1053,"Bourg-en-Bresse",41527
1054,"Bourg-Saint-Christophe",1366
1056,"Boyeux-Saint-Jérôme",346
1057,"Boz",512
1058,"Brégnier-Cordon",839
1060,"Brénod",509
1061,"Brens",1166
1130,"Bresse Vallons",2282
1062,"Bressolles",911
1063,"Brion",521
1064,"Briord",1016
1065,"Buellas",1782
1066,"La Burbanche",77
1067,"Ceignes",254
1068,"Cerdon",783
1069,"Certines",1517
1071,"Cessy",4856
1072,"Ceyzériat",3157
1073,"Ceyzérieu",1007
1074,"Chalamont",2451
1075,"Chaleins",1342
1076,"Chaley",130
1077,"Challes-la-Montagne",194
1078,"Challex",1481
1079,"Champagne-en-Valromey",820
1080,"Champdor-Corcelles",651
1081,"Champfromier",729
1082,"Chanay",625
1083,"Chaneins",910
1084,"Chanoz-Châtenay",844
1085,"La Chapelle-du-Châtelard",388
1087,"Charix",285
1088,"Charnoz-sur-Ain",913
1089,"Château-Gaillard",2138
1090,"Châtenay",341
1092,"Châtillon-la-Palud",1584
1093,"Châtillon-sur-Chalaronne",4859
1094,"Chavannes-sur-Reyssouze",753
1096,"Chaveyriat",1008
1098,"Chazey-Bons",1112
1099,"Chazey-sur-Ain",1514
1100,"Cheignieu-la-Balme",134
1101,"Chevillard",151
1102,"Chevroux",952
1103,"Chevry",1812
1104,"Chézery-Forens",467
1105,"Civrieux",1680
1106,"Cize",173
1107,"Cleyzieu",136
1108,"Coligny",1181
1109,"Collonges",2219
1110,"Colomieu",140
1111,"Conand",124
1112,"Condamine",411
1113,"Condeissiat",822
1114,"Confort",648
1115,"Confrançon",1336
1116,"Contrevoz",499
1117,"Conzieu",148
1118,"Corbonod",1264
1121,"Corlier",114
1123,"Cormoranche-sur-Saône",1138
1124,"Cormoz",664
1125,"Corveissiat",621
1127,"Courmangoux",507
1128,"Courtes",313
1129,"Crans",266
1133,"Cressin-Rochefort",392
1134,"Crottet",1734
1135,"Crozet",2138
1136,"Cruzilles-lès-Mépillat",868
1138,"Culoz",3035
1139,"Curciat-Dongalon",440
1140,"Curtafond",770
1141,"Cuzieu",448
1142,"Dagneux",4717
1143,"Divonne-les-Bains",9644
1146,"Dompierre-sur-Chalaronne",435
1145,"Dompierre-sur-Veyle",1166
1147,"Domsure",486
1148,"Dortan",1846
1149,"Douvres",1041
1150,"Drom",216
1151,"Druillat",1159
1152,"Échallon",757
1153,"Échenevex",2132
1155,"Évosges",145
1156,"Faramans",806
1157,"Fareins",2204
1158,"Farges",1038
1159,"Feillens",3291
1160,"Ferney-Voltaire",9766
1162,"Flaxieu",68
1163,"Foissiat",2085
1165,"Francheleins",1611
1166,"Frans",2351
1167,"Garnerans",647
1169,"Genouilleux",612
1171,"Géovreisset",874
1173,"Gex",13118
1174,"Giron",183
1175,"Gorrevod",835
1177,"Grand-Corent",177
1179,"Grièges",1876
1180,"Grilly",833
1181,"Groissiat",1229
1338,"Groslée-Saint-Benoit",1193
1183,"Guéreins",1452
1187,"Haut Valromey",669
1184,"Hautecourt-Romanèche",777
1188,"Illiat",627
1189,"Injoux-Génissiat",1136
1190,"Innimond",89
1191,"Izenave",156
1192,"Izernore",2247
1193,"Izieu",235
1194,"Jassans-Riottier",6339
1195,"Jasseron",1755
1196,"Jayat",1182
1197,"Journans",355
1198,"Joyeux",271
1199,"Jujurieux",2156
1200,"Labalme",210
1202,"Lagnieu",7143
1203,"Laiz",1212
1206,"Lantenay",277
1207,"Lapeyrouse",316
1208,"Lavours",124
1209,"Léaz",739
1210,"Lélex",227
1211,"Lent",1405
1212,"Lescheroux",735
1213,"Leyment",1303
1214,"Leyssard",152
1216,"Lhuis",889
1219,"Lompnas",168
1224,"Loyettes",3146
1225,"Lurcy",384
1227,"Magnieu",644
1228,"Maillat",635
1229,"Malafretaz",1216
1230,"Mantenay-Montlin",313
1231,"Manziat",1963
1232,"Marboz",2244
1233,"Marchamp",131
1234,"Marignieu",172
1235,"Marlieux",1112
1236,"Marsonnas",991
1237,"Martignat",1654
1238,"Massieux",2590
1239,"Massignieu-de-Rives",614
1240,"Matafelon-Granges",641
1241,"Meillonnas",1335
1242,"Mérignat",130
1243,"Messimy-sur-Saône",1224
1244,"Meximieux",7743
1246,"Mézériat",2172
1247,"Mijoux",341
1248,"Mionnay",2100
1249,"Miribel",9963
1250,"Misérieux",1941
1252,"Mogneneins",778
1254,"Montagnat",1992
1255,"Montagnieu",622
1257,"Montanges",344
1258,"Montceaux",1195
1259,"Montcet",691
1260,"Le Montellier",297
1261,"Monthieux",646
1262,"Montluel",6964
1263,"Montmerle-sur-Saône",3793
1264,"Montracol",1040
1265,"Montréal-la-Cluse",3435
1266,"Montrevel-en-Bresse",2489
1268,"Murs-et-Gélignieux",252
1269,"Nantua",3446
1272,"Neuville-les-Dames",1510
1273,"Neuville-sur-Ain",1756
1274,"Les Neyrolles",639
1275,"Neyron",2527
1276,"Niévroz",1619
1095,"Nivigne et Suran",814
1277,"Nivollet-Montgriffon",119
1267,"Nurieux-Volognat",1028
1279,"Oncieu",89
1280,"Ordonnaz",141
1281,"Ornex",4410
1282,"Outriaz",260
1283,"Oyonnax",22427
1284,"Ozan",686
1285,"Parcieux",1206
1286,"Parves et Nattages",942
1288,"Péron",2620
1289,"Péronnas",6385
1290,"Pérouges",1201
1291,"Perrex",838
1293,"Peyriat",157
1294,"Peyrieu",873
1295,"Peyzieux-sur-Saône",661
1296,"Pirajoux",408
1297,"Pizay",820
1298,"Plagne",132
1299,"Le Plantay",564
1185,"Plateau d'Hauteville",4853
1204,"Le Poizat-Lalleyriat",720
1301,"Polliat",2511
1302,"Pollieu",159
1303,"Poncin",1703
1304,"Pont-d'Ain",2964
1305,"Pont-de-Vaux",2258
1306,"Pont-de-Veyle",1625
1307,"Port",849
1308,"Pougny",812
1309,"Pouillat",88
1310,"Prémeyzel",248
1311,"Prémillieu",45
1313,"Prévessin-Moëns",8233
1314,"Priay",1729
1317,"Ramasse",324
1318,"Rancé",727
1319,"Relevant",463
1320,"Replonges",3717
1321,"Revonnas",905
1322,"Reyrieux",4797
1323,"Reyssouze",980
1325,"Rignieux-le-Franc",971
1328,"Romans",590
1329,"Rossillon",151
1330,"Ruffieu",186
1331,"Saint-Alban",178
1334,"Saint-André-d'Huiriat",626
1332,"Saint-André-de-Bâgé",751
1333,"Saint-André-de-Corcy",3354
1335,"Saint-André-le-Bouchoux",390
1336,"Saint-André-sur-Vieux-Jonc",1147
1337,"Saint-Bénigne",1265
1339,"Saint-Bernard",1433
1343,"Saint-Cyr-sur-Menthon",1776
1345,"Saint-Denis-en-Bugey",2309
1344,"Saint-Denis-lès-Bourg",5747
1346,"Saint-Didier-d'Aussiat",871
1347,"Saint-Didier-de-Formans",1960
1348,"Saint-Didier-sur-Chalaronne",2875
1349,"Saint-Éloi",456
1350,"Saint-Étienne-du-Bois",2448
1351,"Saint-Étienne-sur-Chalaronne",1555
1352,"Saint-Étienne-sur-Reyssouze",571
1354,"Saint-Genis-Pouilly",12544
1355,"Saint-Genis-sur-Menthon",472
1356,"Saint-Georges-sur-Renon",214
1357,"Saint-Germain-de-Joux",501
1358,"Saint-Germain-les-Paroisses",434
1359,"Saint-Germain-sur-Renon",236
1360,"Saint-Jean-de-Gonville",1787
1361,"Saint-Jean-de-Niost",1477
1362,"Saint-Jean-de-Thurigneux",771
1363,"Saint-Jean-le-Vieux",1723
1364,"Saint-Jean-sur-Reyssouze",744
1365,"Saint-Jean-sur-Veyle",1149
1367,"Saint-Julien-sur-Reyssouze",749
1368,"Saint-Julien-sur-Veyle",817
1369,"Saint-Just",926
1370,"Saint-Laurent-sur-Saône",1722
1371,"Saint-Marcel",1279
1372,"Saint-Martin-de-Bavel",438
1373,"Saint-Martin-du-Frêne",1049
1374,"Saint-Martin-du-Mont",1826
1375,"Saint-Martin-le-Châtel",787
1376,"Saint-Maurice-de-Beynost",3967
1378,"Saint-Maurice-de-Gourdans",2572
1379,"Saint-Maurice-de-Rémens",756
1380,"Saint-Nizier-le-Bouchoux",680
1381,"Saint-Nizier-le-Désert",916
1383,"Saint-Paul-de-Varax",1529
1384,"Saint-Rambert-en-Bugey",2269
1385,"Saint-Rémy",994
1386,"Saint-Sorlin-en-Bugey",1157
1387,"Saint-Sulpice",257
1388,"Saint-Trivier-de-Courtes",1093
1389,"Saint-Trivier-sur-Moignans",1799
1390,"Saint-Vulbas",1286
1342,"Sainte-Croix",570
1353,"Sainte-Euphémie",1667
1366,"Sainte-Julie",1017
1382,"Sainte-Olive",283
1391,"Salavre",272
1392,"Samognat",653
1393,"Sandrans",530
1396,"Sault-Brénaz",953
1397,"Sauverny",1009
1398,"Savigneux",1351
1399,"Ségny",2062
1400,"Seillonnaz",137
1401,"Sergy",2084
1402,"Sermoyer",668
1403,"Serrières-de-Briord",1264
1404,"Serrières-sur-Ain",134
1405,"Servas",1247
1406,"Servignat",175
1407,"Seyssel",999
1408,"Simandre-sur-Suran",671
1410,"Sonthonnax-la-Montagne",312
1411,"Souclin",273
1412,"Sulignat",586
1215,"Surjoux-Lhopital",131
1415,"Talissieu",450
1416,"Tenay",1035
1418,"Thil",1088
1419,"Thoiry",6038
1420,"Thoissey",1741
1421,"Torcieu",726
1422,"Tossiat",1362
1423,"Toussieux",1091
1424,"Tramoyes",1681
1425,"La Tranclière",286
1427,"Trévoux",6845
1426,"Val-Revermont",2601
1428,"Valeins",130
1036,"Valromey-sur-Séran",1311
1033,"Valserhône",16423
1429,"Vandeins",687
1430,"Varambon",584
1431,"Vaux-en-Bugey",1224
1432,"Verjon",295
1433,"Vernoux",330
1434,"Versailleux",438
1435,"Versonnex",2176
1436,"Vesancy",484
1437,"Vescours",241
1439,"Vésines",99
1441,"Vieu-d'Izenave",707
1443,"Villars-les-Dombes",4795
1444,"Villebois",1173
1445,"Villemotier",656
1446,"Villeneuve",1501
1447,"Villereversure",1291
1448,"Villes",376
1449,"Villette-sur-Ain",755
1450,"Villieu-Loyes-Mollon",3653
1451,"Viriat",6418
1452,"Virieu-le-Grand",1081
1454,"Virignin",1097
1456,"Vongnes",70
1457,"Vonnas",2961
2001,"Abbécourt",498
2002,"Achery",598
2003,"Acy",1012
2004,"Agnicourt-et-Séchelles",177
2005,"Aguilcourt",384
2006,"Aisonville-et-Bernoville",255
2007,"Aizelles",125
2008,"Aizy-Jouy",291
2009,"Alaincourt",543
2010,"Allemant",177
2011,"Ambleny",1155
2012,"Ambrief",70
2013,"Amifontaine",404
2014,"Amigny-Rouy",744
2015,"Ancienville",75
2016,"Andelain",228
2017,"Anguilcourt-le-Sart",315
2018,"Anizy-le-Grand",2533
2019,"Annois",364
2020,"Any-Martin-Rieux",456
2021,"Archon",87
2022,"Arcy-Sainte-Restitue",403
2023,"Armentières-sur-Ourcq",103
2024,"Arrancy",53
2025,"Artemps",371
2027,"Assis-sur-Serre",222
2028,"Athies-sous-Laon",2604
2029,"Attilly",363
2030,"Aubencheul-aux-Bois",269
2031,"Aubenton",657
2032,"Aubigny-aux-Kaisnes",253
2033,"Aubigny-en-Laonnois",105
2034,"Audignicourt",118
2035,"Audigny",279
2036,"Augy",82
2037,"Aulnois-sous-Laon",1422
2038,"Les Autels",57
2039,"Autremencourt",169
2040,"Autreppes",178
2041,"Autreville",814
2042,"Azy-sur-Marne",389
2043,"Bagneux",69
2044,"Bancigny",26
2046,"Barenton-Bugny",555
2047,"Barenton-Cel",114
2048,"Barenton-sur-Serre",134
2049,"Barisis-aux-Bois",740
2050,"Barzy-en-Thiérache",330
2051,"Barzy-sur-Marne",384
2052,"Bassoles-Aulers",139
2054,"Bazoches-sur-Vesles",460
2055,"Beaumé",92
2056,"Beaumont-en-Beine",177
2057,"Beaurevoir",1424
2058,"Beaurieux",844
2059,"Beautor",2699
2060,"Beauvois-en-Vermandois",268
2061,"Becquigny",250
2062,"Belleau",136
2063,"Bellenglise",381
2064,"Belleu",3810
2065,"Bellicourt",602
2066,"Benay",204
2067,"Bergues-sur-Sambre",213
2068,"Berlancourt",103
2069,"Berlise",111
2070,"Bernot",452
2071,"Berny-Rivière",651
2072,"Berrieux",188
2073,"Berry-au-Bac",653
2074,"Bertaucourt-Epourdon",604
2075,"Berthenicourt",199
2076,"Bertricourt",162
2077,"Berzy-le-Sec",385
2078,"Besmé",160
2079,"Besmont",152
2080,"Besny-et-Loizy",350
2081,"Béthancourt-en-Vaux",440
2082,"Beugneux",111
2083,"Beuvardes",749
2084,"Bézu-le-Guéry",260
2085,"Bézu-Saint-Germain",1043
2086,"Bichancourt",1048
2087,"Bieuxy",30
2088,"Bièvres",88
2089,"Billy-sur-Aisne",1154
2090,"Billy-sur-Ourcq",213
2091,"Blanzy-lès-Fismes",106
2093,"Blérancourt",1290
2094,"Blesmes",447
2095,"Bohain-en-Vermandois",5664
2096,"Bois-lès-Pargny",201
2097,"Boncourt",259
2098,"Bonneil",375
2099,"Bonnesvalyn",236
2100,"Bony",137
2101,"Bosmont-sur-Serre",193
2102,"Bouconville-Vauclair",187
2103,"Boué",1324
2104,"Bouffignereux",102
2105,"Bouresches",202
2106,"Bourg-et-Comin",822
2107,"Bourguignon-sous-Coucy",103
2108,"Bourguignon-sous-Montbavin",158
2109,"La Bouteille",486
2110,"Braine",2213
2111,"Brancourt-en-Laonnois",708
2112,"Brancourt-le-Grand",565
2114,"Brasles",1529
2117,"Bray-Saint-Christophe",67
2118,"Braye",121
2115,"Braye-en-Laonnois",203
2116,"Braye-en-Thiérache",146
2119,"Brécy",340
2120,"Brenelle",195
2121,"Breny",244
2122,"Brie",53
2123,"Brissay-Choigny",303
2124,"Brissy-Hamégicourt",653
2125,"Brumetz",213
2126,"Brunehamel",456
2128,"Bruyères-et-Montbérault",1532
2127,"Bruyères-sur-Fère",189
2129,"Bruys",19
2130,"Bucilly",193
2131,"Bucy-le-Long",1880
2132,"Bucy-lès-Cerny",203
2133,"Bucy-lès-Pierrepont",411
2134,"Buire",869
2135,"Buironfosse",1168
2136,"Burelles",128
2137,"Bussiares",152
2138,"Buzancy",190
2139,"Caillouël-Crépigny",438
2140,"Camelin",454
2141,"La Capelle",1788
2142,"Castres",244
2143,"Le Catelet",192
2144,"Caulaincourt",145
2145,"Caumont",546
2146,"Celles-lès-Condé",87
2148,"Celles-sur-Aisne",258
2149,"Cerizy",67
2150,"Cerny-en-Laonnois",64
2151,"Cerny-lès-Bucy",115
2152,"Cerseuil",89
2153,"Cessières-Suzy",763
2154,"Chacrise",361
2155,"Chaillevois",174
2156,"Chalandry",253
2157,"Chambry",848
2158,"Chamouille",284
2159,"Champs",280
2160,"Chaourse",539
2162,"La Chapelle-sur-Chézy",278
2163,"Charly-sur-Marne",2617
2164,"Le Charmel",316
2165,"Charmes",1652
2166,"Chartèves",352
2167,"Chassemy",881
2168,"Château-Thierry",15107
2169,"Châtillon-lès-Sons",83
2170,"Châtillon-sur-Oise",127
2171,"Chaudardes",87
2172,"Chaudun",249
2173,"Chauny",11878
2174,"Chavignon",818
2175,"Chavigny",150
2176,"Chavonne",205
2177,"Chérêt",142
2178,"Chermizy-Ailles",106
2179,"Chéry-Chartreuve",392
2180,"Chéry-lès-Pouilly",710
2181,"Chéry-lès-Rozoy",80
2182,"Chevennes",125
2183,"Chevregny",187
2184,"Chevresis-Monceau",355
2185,"Chézy-en-Orxois",404
2186,"Chézy-sur-Marne",1353
2187,"Chierry",1109
2188,"Chigny",149
2189,"Chivres-en-Laonnois",362
2190,"Chivres-Val",530
2191,"Chivy-lès-Étouvelles",510
2192,"Chouy",370
2193,"Cierges",66
2194,"Cilly",193
2195,"Ciry-Salsogne",930
2196,"Clacy-et-Thierret",314
2197,"Clairfontaine",552
2198,"Clamecy",228
2199,"Clastres",635
2200,"Clermont-les-Fermes",120
2203,"Coincy",1310
2204,"Coingt",68
2205,"Colligis-Crandelain",248
2206,"Colonfay",78
2207,"Commenchon",214
2208,"Concevreux",278
2209,"Condé-en-Brie",685
2210,"Condé-sur-Aisne",360
2211,"Condé-sur-Suippe",285
2212,"Condren",707
2213,"Connigis",332
2214,"Contescourt",61
2215,"Corbeny",801
2216,"Corcy",306
2219,"Coucy-la-Ville",219
2217,"Coucy-le-Château-Auffrique",1014
2218,"Coucy-lès-Eppes",624
2220,"Coulonges-Cohan",436
2221,"Coupru",149
2222,"Courbes",31
2223,"Courboin",300
2224,"Courcelles-sur-Vesle",350
2225,"Courchamps",88
2226,"Courmelles",1826
2227,"Courmont",133
2228,"Courtemont-Varennes",333
2229,"Courtrizy-et-Fussigny",66
2230,"Couvrelles",188
2231,"Couvron-et-Aumencourt",938
2232,"Coyolles",344
2233,"Cramaille",143
2234,"Craonne",82
2235,"Craonnelle",117
2236,"Crécy-au-Mont",346
2237,"Crécy-sur-Serre",1498
2238,"Crépy",1837
2239,"Crézancy",1230
2240,"Croix-Fonsomme",257
2241,"La Croix-sur-Ourcq",105
2242,"Crouttes-sur-Marne",647
2243,"Crouy",2905
2244,"Crupilly",64
2245,"Cuffies",1789
2246,"Cugny",606
2248,"Cuirieux",157
2249,"Cuiry-Housse",102
2250,"Cuiry-lès-Chaudardes",76
2251,"Cuiry-lès-Iviers",28
2252,"Cuissy-et-Geny",71
2253,"Cuisy-en-Almont",355
2254,"Cutry",128
2255,"Cys-la-Commune",143
2201,"Cœuvres-et-Valsery",438
2256,"Dagny-Lambercy",125
2257,"Dallon",436
2258,"Dammard",379
2259,"Dampleux",398
2260,"Danizy",650
2261,"Dercy",391
2262,"Deuillet",216
2263,"Dhuizel",114
2458,"Dhuys et Morin-en-Brie",818
2264,"Dizy-le-Gros",747
2265,"Dohis",99
2266,"Dolignon",49
2267,"Dommiers",289
2268,"Domptin",654
2269,"Dorengt",154
2270,"Douchy",162
2271,"Dravegny",132
2272,"Droizy",75
2273,"Dury",222
2274,"Ébouleau",200
2275,"Effry",324
2276,"Englancourt",122
2277,"Épagny",340
2278,"Éparcy",30
2279,"Épaux-Bézu",556
2280,"Épieds",392
2281,"L' Épine-aux-Bois",261
2282,"Eppes",417
2283,"Erlon",284
2284,"Erloy",97
2286,"Esquéhéries",858
2287,"Essigny-le-Grand",1022
2288,"Essigny-le-Petit",344
2289,"Essises",417
2290,"Essômes-sur-Marne",2776
2291,"Estrées",412
2292,"Étampes-sur-Marne",1253
2293,"Étaves-et-Bocquiaux",557
2294,"Étouvelles",213
2295,"Étréaupont",859
2296,"Étreillers",1208
2297,"Étrépilly",118
2298,"Étreux",1459
2299,"Évergnicourt",570
2302,"Faverolles",317
2303,"Fayet",654
2304,"La Fère",2859
2305,"Fère-en-Tardenois",3053
2306,"La Ferté-Chevresis",542
2307,"La Ferté-Milon",2085
2308,"Fesmy-le-Sart",486
2309,"Festieux",680
2310,"Fieulaine",256
2311,"Filain",129
2312,"La Flamengrie",1118
2313,"Flavigny-le-Grand-et-Beaurain",468
